	beads-superpowers — Process Discipline and Persistent Memory for AI Coding Agents - beads-superpowers
getting-started/	Getting Started - beads-superpowers
methodology/	Methodology - beads-superpowers
skills/	Skills Reference - beads-superpowers
tips/	Tips & Tricks - beads-superpowers
workflow/	Example Workflow - beads-superpowers
zh/	首页 - beads-superpowers
zh/getting-started/	快速开始 - beads-superpowers
zh/methodology/	方法论 - beads-superpowers
zh/skills/	技能参考 - beads-superpowers
zh/tips/	技巧与窍门 - beads-superpowers
zh/workflow/	工作流示例 - beads-superpowers
